"location","source","target"
"ForgeryFlyerInnerBack","Client must provide existing Obristan passport to be modified with new info",""
"ForgeryFlyerInnerBack","Service at border Arstotzka/Obristan",""
"ForgeryFlyerInnerBack","Ask for Timofei Wee",""
"GymFlyerInner","Underweight?Weak?Tired?",""
"GymFlyerInner","JOIN BEST GYM!",""
"GymFlyerInner","GET BIG TOWN",""
"GymFlyerInner","East Grestin",""
"HintMissingInner","THIS ENTRANT HAS NO DOCUMENTS",""
"HintMissingInner","To proceed, use INSPECT mode to interrogate.",""
"HintMissingInner","Review page 2 of today's bulletin for full instructions.",""
"IdCardInner","ARSTOTZKA IDENTITY CARD",""
"IdCardInner","DOB",""
"IdCardInner","HT.",""
"IdCardInner","WT.",""
"IdentityRecordInner","M.O.A. IDENTITY RECORD",""
"IdentityRecordInner","NAME:",""
"IdentityRecordInner","ALIAS:",""
"IdentityRecordInner","Applicant's fingerprints and claimed name/alias must match this record.",""
"IdSupplementInner","IDENTITY<br>SUPPLEMENT",""
"IdSupplementInner","HT",""
"IdSupplementInner","WT",""
"IdSupplementInner","DESCRIPTION",""
"IdSupplementInner","THUMB",""
"IdSupplementInner","Keep on person",""
"IdSupplementInner","EXP.",""
"LocketInnerOpen","To Sergiu from your Elisa",""
"LocketInnerOpen","I Love You Always",""
"LoveSongInner1","YOU",""
"LoveSongInner1","YOU ARE HOT LIKE FIRE",""
"LoveSongInner2","you",""
"LoveSongInner2","OBJECT OF DESIRE",""
"LoveSongInner3","YOU<br>(AGAIN)",""
"LoveSongInner3","WRAP MY HEART IN WIRE",""
"LoveSongInner4","ApPROVED",""
"LoveSongInner4","APPROVE MY VISA",""
"tweak-passport-field-padding-left","2px",""
"PassportInnerAntegria","ENTRY VISA",""
"PassportInnerAntegria","DOB.",""
"PassportInnerAntegria","SEX",""
"PassportInnerAntegria","ISS.",""
"PassportInnerAntegria","EXP.",""
"PassportInnerAntegria","ANTEGRIA",""
"tweak-passport-arstotzka-nation","16px",""
"PassportInnerArstotzka","ENTRY VISA",""
"PassportInnerArstotzka","DOB.",""
"PassportInnerArstotzka","SEX",""
"PassportInnerArstotzka","ISS.",""
"PassportInnerArstotzka","EXP.",""
"PassportInnerArstotzka","ARSTOTZKA",""
"PassportInnerImpor","ENTRY VISA",""
"PassportInnerImpor","DOB.",""
"PassportInnerImpor","SEX",""
"PassportInnerImpor","ISS.",""
"PassportInnerImpor","EXP.",""
"PassportInnerImpor","IMPOR",""
"PassportInnerKolechia","ENTRY VISA",""
"PassportInnerKolechia","DOB.",""
"PassportInnerKolechia","SEX",""
"PassportInnerKolechia","ISS.",""
"PassportInnerKolechia","EXP.",""
"PassportInnerKolechia","KOLECHIA",""
"PassportInnerObristan","ENTRY VISA",""
"PassportInnerObristan","DOB.",""
"PassportInnerObristan","SEX",""
"PassportInnerObristan","ISS.",""
"PassportInnerObristan","EXP.",""
"PassportInnerObristan","OBRISTAN",""
"PassportInnerRepublia","ENTRY VISA",""
"PassportInnerRepublia","DOB.",""
"PassportInnerRepublia","SEX",""
"PassportInnerRepublia","ISS.",""
"PassportInnerRepublia","EXP.",""
"PassportInnerRepublia","REPUBLIA",""
"PassportInnerUnitedFed","ENTRY VISA",""
"PassportInnerUnitedFed","DOB.",""
"PassportInnerUnitedFed","SEX",""
"PassportInnerUnitedFed","ISS.",""
"PassportInnerUnitedFed","EXP.",""
"PassportInnerUnitedFed","UNITED FEDERATION",""
"PlaqueOneInner","Ministry of Admission",""
"PlaqueOneInner","RECOGNITION",""
"PlaqueOneInner","FOR",""
"PlaqueOneInner","HANG ON WALL",""
"PlaqueTwoInner","Ministry of Admission",""
"PlaqueTwoInner","RECOGNITION",""
"PlaqueTwoInner","FOR",""
"PlaqueTwoInner","HANG ON WALL",""
"PoisonInnerBack","OPEN",""
"PoisonInnerOpen1","DO NOT TOUCH POWDER",""
"PoisonInnerOpen1","CLOSE",""
"PoisonInnerOpen2","ALIGN POWDER OVER PASSPORT",""
"PoisonInnerOpen2","PUSH HARD TO AFFIX",""
"PoisonInnerOpen2","CLOSE",""
"PoliceBadgeInner","MINISTRY OF INFORMATION",""
"PoliceBadgeInner","Office of Investigation",""
"PoliceBadgeInner","East Grestin Division",""
"PoliceBadgeInner","Special Investigator",""
"PoliceBadgeInner","MOI",""
"PressPassInner","INTERNATIONAL",""
"PressPassInner","PRESS",""
"PressPassInner","IDENTIFICATION",""
"RuleDiploAccess","AUTHORIZATION MUST GRANT ACCESS<br> TO ARSTOTZKA",""
"RuleIssuingCity","PASSPORT <span>ISS.</span> FIELD MUST BE VALID",""
"RuleSealRequired","DOCUMENT MUST<br>HAVE A SEAL",""
"RulesInnerHome","Arstotzkan",""
"RulesInnerHome","Ministry<span>of</span>Admission",""
"RulesInnerHome","RULES",""
"RulesInnerHome","&amp;",""
"RulesInnerHome","REGULATIONS",""
"RulesInnerHome","for Inspectors",""
"RulesInnerHome","CONTENTS",""
"RulesInnerHome","PROPERTY OF",""
"RulesInnerHome","M.O.A",""
"RulesInnerBasic","RULES",""
"RulesInnerRegion","DIPLOMATIC SEALS",""
"RulesInnerRegion","PASSPORT",""
"RulesInnerRegion","ISSUING CITIES",""
"RulesInnerRegionArstotzka","DISTRICTS",""
"RulesInnerRegionArstotzka","PASSPORT",""
"RulesInnerRegionArstotzka","ISSUING CITIES",""
"RulesInnerBooth","INSPECTOR'S BOOTH",""
"RulesInnerBooth","Shutter",""
"RulesInnerBooth","Counter",""
"RulesInnerBooth","Rule Book<br>Audio Trans.<br>Bulletin<br>Time &amp; Date",""
"RulesInnerBooth","UPGRADES",""
"RulesInnerBooth","NO UPGRADES<br>INSTALLED",""
"RulesInnerDocs","OFFICIALLY RECOGNIZED",""
"RulesInnerDocs","DOCUMENTS",""
"RulesInnerDocs","CONTENTS",""
"RulesInnerEntryPermit","ENTRY PERMIT",""
"RulesInnerEntryPermit","VALID SEALS",""
"RulesInnerIdCard","ARSTOTZKAN<br>ID CARD",""
"RulesInnerIdCard","ISSUED TO ALL ARSTOTZKAN CITIZENS",""
"RulesInnerIdCard","DISTRICTS",""
"RulesInnerIdSupplement","IDENTITY<br>SUPPLEMENT",""
"RulesInnerIdSupplement","ISSUED TO ALL QUALIFIED FOREIGNERS",""
"RulesInnerIdSupplement","FOR VERIFICATION OF FOREIGNER'S PHYSICAL APPEARANCE",""
"RulesInnerIdSupplement","VERIFY THUMBPRINT ONLY WHEN FINGERPRINT RECORD IS AVAILABLE",""
"RulesInnerIdSupplement","THIS IS A SHORT-ISSUE DOCUMENT - VERIFY EXPIRATION CAREFULLY",""
"RulesInnerAccessPermit","ACCESS PERMIT",""
"RulesInnerAccessPermit","VALID SEALS",""
"RulesInnerAccessPermit","THIS DOCUMENT REPLACES ENTRY PERMIT AND IDENTITY SUPPLEMENT",""
"RulesInnerWorkPermit","WORK PASS",""
"RulesInnerWorkPermit","ISSUED TO ALL QUALIFIED FOREIGN LABOR",""
"RulesInnerWorkPermit","VALID SEALS",""
"RulesInnerDiplomaticAuth","DIPLOMATIC",""
"RulesInnerDiplomaticAuth","AUTHORIZATION",""
"RulesInnerDiplomaticAuth","VALIDATE SEAL WITH COUNTRY PAGE",""
"RulesInnerAsylumGrant","GRANT OF<br>ASYLUM",""
"RulesInnerAsylumGrant","VALID SEALS",""
"RulesInnerAsylumGrant","ALWAYS VERIFY FINGERPRINTS",""
"RulesInnerVaccineCert","VACCINE CERTIFICATE",""
"RulesInnerVaccineCert","MINISTRY",""
"RulesInnerVaccineCert","OF",""
"RulesInnerVaccineCert","HEALTH",""
"RulesInnerVaccineCert","REGULATION DOCUMENT",""
"RulesInnerVaccineCert","POLIO VACCINATION REQUIRED FOR ALL ENTRANTS",""
"RulesInnerVaccineCert","NO EXCEPTIONS",""
"RulesInnerConfiscation","PASSPORT CONFISCATION",""
"RulesInnerConfiscation","DROP PASSPORT IN CONFISCATION DRAWER",""
"RulesInnerConfiscation","POLICY",""
"RulesInnerConfiscation","PASSPORT MUST BE CONFISCATED BEFORE DETAINING",""
"RulesInnerConfiscation","MOI",""
"RulesInnerLast","PROPERTY OF",""
"RulesInnerLast","M.O.A.",""
"RulesInnerLast","GLORY TO ARSTOTZKA",""
"RulesInnerLast","Arstotzkan",""
"RulesInnerLast","Ministry of Admission",""
"RulesInnerLast","Rules &amp; Regulations",""
"RulesInnerLast","for Inspectors",""
"RulesInnerLast","1982-1983 Edition",""
"RulesInnerLast","DO NOT DISTRIBUTE UNDER SEVERE<br>PENALTY",""
"RulesTabConfL","CONF.",""
"RulesTabConfR","CONF.",""
"RulesTabDocsL","DOCS",""
"RulesTabDocsR","DOCS",""
"RulesTabMapL","MAP",""
"RulesTabMapR","MAP",""
"RulesTabRulesL","RULES",""
"RulesTabRulesR","RULES",""
"RulesUpgrade0","TOGGLE INSPECT",""
"RulesUpgrade0","SPACE",""
"RulesUpgrade1","TOGGLE STAMP BAR",""
"RulesUpgrade1","TAB",""
"RulesUpgrade2","RULEBOOK SHORTCUTS",""
"RulesUpgrade3","QUICK INSPECT",""
"RulesUpgrade3","DOUBLE-CLICK",""
"SeizureSlipInner","Arstotzka Ministry of Admission",""
"SeizureSlipInner","PASSPORT SEIZURE SLIP",""
"SeizureSlipInner","ENTRY VISA",""
"SeizureSlipInner","Your passport has been seized.",""
"SeizureSlipInner","Contact 1509-6103 for redress.",""
"SpyDocsInnerBack","Mating Habits of Lesser Kolechian Waterfowl",""
"SpyDocsInnerBack","A FULL REPORT",""
"SpyDocsInnerBack","Ministry of Information",""
"TranscriptInner","AUDIO TRANSCRIPT",""
"VaccineCertInner","Certificate<span>of</span>Vaccination",""
"VaccineCertInner","ID#",""
"VaccineCertInner","DATE",""
"VaccineCertInner","VACCINE",""
"VaccineCertInner","Vax valid for 3 years",""
"VisaSlipInner","TEMPORARY VISA SLIP",""
"VisaSlipInner","ENTRY VISA",""
"VisaSlipInner","TO BE USED FOR DENIALS ONLY",""
"WorkPermitInner","Ministry of Labor",""
"WorkPermitInner","Work Pass",""
"WorkPermitInner","This pass grants its holder the right to work in a specific field for a limited time.",""
"WorkPermitInner","HOLDER",""
"WorkPermitInner","FIELD",""
"WorkPermitInner","UNTIL",""
"WorkPermitInner","Keep this pass with you at all times.",""
"EndNews","Kolechian Consensus Reached Over Grestin",""
"ApartmentClass","CLASS",""
"DetainButton","DETAIN",""
"FingerprintButton","FINGERPRINT",""
"SearchButton","SEARCH",""
"EmblemsMOA","M.O.A",""
"EmblemsMOA","M.O.L",""
"EmblemsMOL","M.O.L",""
"Filer","CONFISCATED DOCUMENTS",""
"Filer","PROPERTY OF",""
"Filer","M.O.A.",""
"GiveIcon","GIVE",""
"LoadButtonNew","NEW",""
"LoadDay","DAY",""
"LoadDrag","DRAG TO SCROLL",""
"News","The Truth of Arstotzka",""
"News","No Charge",""
"ReasonButton","REASON",""
"RifleKill","KILL",""
"RifleTranq","TRANQ",""
"StampBarMid","ALIGN VISA BENEATH STAMP",""
"Upgrades","SPACE",""
"Upgrades","TAB",""
"image:ArskickersInner.png","capture/ArskickersInner.png",""
"ArskickersInner","HANG ON WALL",""
"image:BrothelFlyerInner.png","capture/BrothelFlyerInner.png",""
"BrothelFlyerInner","East Grestin",""
"BrothelFlyerInner","FOR ALL YOUR FANTASIES",""
"image:PezpertInner.png","capture/PezpertInner.png",""
"PezpertInner","STAMP HERE",""
"image:SonDrawingInner.png","capture/SonDrawingInner.png",""
"SonDrawingInner","hanG on wAll",""
"image:SonDrawingOuter.png","capture/SonDrawingOuter.png",""
"image:SonDrawingMount.png","capture/SonDrawingMount.png",""
"image:VictimPhotoInnerBack.png","capture/VictimPhotoInnerBack.png",""
"image:Emotions.png","export/Emotions.png",""
"image:LoadButtonLatest.png","export/LoadButtonLatest.png",""
"image:InkApproved.png","export/InkApproved.png",""
"image:InkDenied.png","export/InkDenied.png",""
"image:StampBotApproved.png","export/StampBotApproved.png",""
"image:StampBotDenied.png","export/StampBotDenied.png",""
"image:ReasonStampTop.png","export/ReasonStampTop.png",""
"image:InkReason.png","export/InkReason.png",""
"image:Arstotzka.png","export/Arstotzka.png",""
"image:Intro1.png","export/Intro1.png",""
"image:Obrinspector.png","export/Obrinspector.png",""
"image:Shutter.png","export/Shutter.png",""
"news:RANDOM_WEATHER","The Weather",""
"news:RANDOM_SPORTS","Sports",""
"news:RANDOM_ENTERTAINMENT","Entertainment",""
"news:RANDOM_POLITICS","Politics",""
"news:FIRST_DAY","Grestin Border Checkpoint Opens At Last!",""
"news:FIRST_DAY","After 6 Long Years. Can the Ministry of Admission Keep Us Safe?",""
"news:FIRST_DAY","Families To Reunite",""
"news:CHECKPOINT_SUCCESS","Grestin Checkpoint a Success!",""
"news:CHECKPOINT_SUCCESS","Entry Restrictions To Relax, Admit Foreigners",""
"news:CHECKPOINT_SUCCESS","Analysts Upbeat",""
"news:CHECKPOINT_SUCCESS","Increased Trade And Cooperation Predicted",""
"news:FIRST_TERRORISTS","Terrorists Strike At Grestin!",""
"news:FIRST_TERRORISTS","Kolechian Agitators Suspected.",""
"news:FIRST_TERRORISTS","Checkpoint Lockdown",""
"news:FIRST_TERRORISTS","More Guards - More Scrutiny",""
"news:BLACKMARKET_EXPLODES","Blackmarket Activity Explodes",""
"news:BLACKMARKET_EXPLODES","Government Blames Lax Immigration Controls",""
"news:BLACKMARKET_EXPLODES","Checkpoint Expansion Postponed",""
"news:WORKPERMIT_FIRST","Jobs Few, Becoming Fewer",""
"news:WORKPERMIT_FIRST","Immigrants Taking Jobs From Locals",""
"news:KOLECHIA_COMPLAINS_SEARCH","Kolechian Leader Files Complaint",""
"news:KOLECHIA_COMPLAINS_SEARCH","Claims Unprovoked Border Searches Violate Rights",""
"news:AFTER_SUICIDE_BOMBER","Another Attack At Grestin Checkpoint!",""
"news:AFTER_SUICIDE_BOMBER","Suicide Bomber Slips Through Security",""
"news:GENERIC_BOMBER","Grestin Suffers Another Border Attack",""
"news:GENERIC_BOMBER","Suicide Bombings Becoming Routine",""
"news:PIMP_BUSTED","Human Trafficking Ring Shut Down!",""
"news:PIMP_BUSTED","Grestin Checkpoint Officer Nabs Mastermind",""
"news:PIMP_ESCAPED","Dancers At Grestin Club Found Dead!",""
"news:PIMP_ESCAPED","Newly Immigrated Girls Victims Of Human Trafficking",""
"news:KILLERATHLETE","Republian Track Star Wanted For Murder!",""
"news:KILLERATHLETE","Vince Lestrade's Whereabouts Unknown - Has Likely Fled Republia",""
"news:KILLERATHLETE","Vince Lestrade: Profile",""
"news:KILLERATHLETE","Girlfriend Killed In Jealous Rage?",""
"news:KILLERATHLETE_DETAINED","Vince Lestrade Apprehended In Grestin!",""
"news:KILLERATHLETE_DETAINED","Track Champ Looks Quite Guilty Now",""
"news:KILLERATHLETE_APPROVED","Vince Lestrade Spotted in Arstotzka",""
"news:KILLERATHLETE_DENIED","Vince Lestrade Apprehended In Kolechia!",""
"news:DIPLOMAT_FIRST","Kolechia Sends Top-Level Diplomat",""
"news:DIPLOMAT_FIRST","Normalizing Trade Top Issue",""
"news:BUSTED_SPY","Top-level Kolechian Exposed as Arstotzkan Spy!",""
"news:BUSTED_SPY","Missing From Post, Presumed Dead",""
"news:BUSTED_SPY_GAVEREALDOCS","Kolechia Cleans House - Eliminates Arstotzkan Spies",""
"news:BUSTED_SPY_GAVEREALDOCS","Heroic Agents Compromised",""
"news:BUSTED_SPY_GAVEFAKEDOCS","Kolechia Cleans House - Attacks Its Own!",""
"news:BUSTED_SPY_GAVEFAKEDOCS","Round Of Disappearances Blamed On Faulty Evidence",""
"news:FORGERY_NEWS","Theft At Ministry Of Admission!",""
"news:FORGERY_NEWS","Limited Effects - Few Items Stolen",""
"news:SECRET_SOCIETY","The History of Arstotzka",""
"news:SECRET_SOCIETY","In Pictures and Words - Mostly Words",""
"news:CRIMINAL_ACTIVITY","A Criminal's Safe Haven",""
"news:CRIMINAL_ACTIVITY","Arstotzka Earns Dubious Reputation",""
"news:LOSING_GUARDS","Ministries Fight Over Staff",""
"news:LOSING_GUARDS","Qualified Guards, Soldiers In Demand",""
"news:LOSING_GUARDS","Consolidation, Reassignment At Border",""
"news:LOSING_GUARDS","Still Safe With Smaller Detail?",""
"news:RUNNER_AFTER_TRANQ","Grestin Incident Highlights Security Risks",""
"news:RUNNER_AFTER_TRANQ","Further Breaches Predicted",""
"news:BIKE_ATTACK","Daring Bike Attack At Grestin Checkpoint!",""
"news:BIKE_ATTACK","Extremists Growing Bolder - Grestin Like Magnet",""
"news:BORDER_TARGETED","Can The Wall Hold?",""
"news:BORDER_TARGETED","Border Safety Continually Questioned",""
"news:BIKERUNNER_NEWS","Coordinated Border Breach!",""
"news:BIKERUNNER_NEWS","Unknown Assailants Swamp Security",""
"news:NOSY_JOURNALIST_APPROVED","Arstotzka's Frail Border",""
"news:NOSY_JOURNALIST_APPROVED","United Fed Reporter Exposes Lax Protocols",""
"news:NOSY_JOURNALIST_DENIED","Arstotzka's Iron Border",""
"news:NOSY_JOURNALIST_DENIED","Int. Media Reveals Entry Visa Bias",""
"news:IDSUPPLEMENT_INTRO","Another Bomber Slips Through!",""
"news:IDSUPPLEMENT_INTRO","Immigrant Screening Falls Short",""
"news:IDSUPPLEMENT_INTRO","M.O.A. Gets New Director",""
"news:IDSUPPLEMENT_INTRO","Stricter Protocols Promised at Border",""
"news:WHISTLEBLOWER_SETUP0","Antegria Domestic Spying Exposed!",""
"news:WHISTLEBLOWER_SETUP0","Whistleblower On The Run",""
"news:WHISTLEBLOWER_SETUP1","Antegrian Whistleblower Denied Asylum In Republia",""
"news:WHISTLEBLOWER_SETUP2","Antegrian Whistleblower Turned Away From United Fed",""
"news:WHISTLEBLOWER_COMING","Antegrian Whistleblower Accepted By Arstotzka",""
"news:WHISTLEBLOWER_COMING","Move Risks Angering Neighbors",""
"news:WHISTLEBLOWER_IN","Antegrian Whistleblower Arrives - Disappears Immediately",""
"news:WHISTLEBLOWER_OUT","Antegrian Whistleblower Turned Away - Whereabouts Unknown",""
"news:IMPOR_UNHAPPY","Impor Protests Unbalanced Trade Restrictions",""
"news:IMPOR_UNHAPPY","Claims Arstotzka Unfairly Taxes Imporian Goods",""
"news:IMPOR_SANCTIONS_START","Impor Begins Trade Sanctions!",""
"news:IMPOR_SANCTIONS_START","Immediately Restricts All Imports From Arstotzka",""
"news:IMPOR_SANCTIONS_END","Impor Sanctions End!",""
"news:IMPOR_SANCTIONS_END","Over So Fast? What Happened?",""
"news:SURGERY_SETUP","Breakthrough Spinal Surgery Perfected",""
"news:SURGERY_SETUP","Only Possible With Arstotzkan Expertise",""
"news:VIRUS_PRIMER","Polio Resurfaces In United Fed",""
"news:VIRUS_PRIMER","Isolated Diagnosis Or Something More?",""
"news:VIRUS_BAN_UNITED_FED","Full-blown Epidemic Threatens United Fed!",""
"news:VIRUS_BAN_UNITED_FED","Previously Under Control, Polio Back With Vengeance",""
"news:VIRUS_REQUIRE_CERT","Ministry of Health Acts To Protect Citizens",""
"news:VIRUS_REQUIRE_CERT","New Policy, Safeguards At Borders",""
"news:SERIAL_KILLER","Serial Child Killer Escapes United Fed Prison!",""
"news:SERIAL_KILLER","Simon Wens: An Arstotzkan Native - Returning Home?",""
"news:SERIAL_KILLER_MURDERED","Bloody Scene In Gennistora!",""
"news:SERIAL_KILLER_MURDERED","Simon Wens Found Dead In Confusing Mess",""
"news:EZIC_ATTACK0","Grestin Metro Halted",""
"news:EZIC_ATTACK0","Tunnel Cave-in, Hints At Sabotage",""
"news:EZIC_ATTACK1_GIFT","Gov't Headquarters In Paradizna Evacuated!",""
"news:EZIC_ATTACK1_GIFT","Strange Gas Detected - Staff Safe, Records Missing",""
"news:EZIC_ATTACK1_NOGIFT","Head Minister Of Finance Missing!",""
"news:EZIC_ATTACK1_NOGIFT","Markets React With Fast Selling, Instability",""
"news:POISONING","Mysterious Poison Hospitalizes Several!",""
"news:POISONING","Unnamed Immigrant Smuggles Deadly Agent",""
"news:MARKED_DIPLOMAT","Top-Level Talks Called",""
"news:MARKED_DIPLOMAT","Grestin Territory Remains Dividing Issue",""
"news:DIPLOMAT_SWAPPED","Kolechians Are Crazy",""
"news:DIPLOMAT_SWAPPED","Bizarre Behavior From Top Negotiator Spoils Talks",""
"news:DIPLOMAT_ORIGINAL","A Tentative Understanding",""
"news:DIPLOMAT_ORIGINAL","Kolechian Talks Establish Common Ground",""
"news:TALKS_BREAK_DOWN","Roadblock To Kolechian Resolution",""
"news:TALKS_BREAK_DOWN","Contested City Drives Wedge",""
"news:BORDER_CLOSING","Grestin Checkpoint Future Uncertain",""
"news:BORDER_CLOSING","Too Open, Too Soon?",""
"text:language_code","en",""
"text:language_name","ENGLISH",""
"text:language_author","Author",""
"text:wrap_hyphen","-",""
"text:created_by","created by Lucas Pope",""
"text:papers_please","Papers, please.",""
"text:protocol_violated","Protocol Violated.",""
"text:unauth_confiscation","Unauthorized passport confiscation",""
"text:missing_reason","Denial reason not given",""
"text:citation_warning","WARNING ISSUED - NO PENALTY",""
"text:citation_lastwarning","LAST WARNING - NO PENALTY",""
"text:citation_penalty","PENALTY ASSESSED - $0 CREDITS",""
"text:border_next","NEXT!",""
"text:border_bomber","FOR KOLECHIA!",""
"text:border_comeback","COME BACK AT 6AM TOMORROW",""
"text:border_announce0","ENTRY IS NOT GUARANTEED",""
"text:border_announce1","HAVE YOUR DOCUMENTS READY",""
"text:border_announce2","ARSTOTZKA WELCOMES YOU",""
"text:border_guardout","OUT!",""
"text:border_elisa","ELISA!",""
"text:family_son_budget","SON",""
"text:family_wife_budget","WIFE",""
"text:family_niece_budget","NIECE",""
"text:family_uncle_budget","UNCLE",""
"text:family_mil_budget","MIL",""
"text:family_son_status","Son",""
"text:family_wife_status","Wife",""
"text:family_niece_status","Niece",""
"text:family_uncle_status","Uncle",""
"text:family_mil_status","Mother-in-law",""
"text:family_son_message","son",""
"text:family_wife_message","wife",""
"text:family_niece_message","niece",""
"text:family_uncle_message","uncle",""
"text:family_mil_message","mother-in-law",""
"text:night_endof","END OF",""
"text:night_day","DAY $0",""
"text:family_verysick_1","Your $0 will die without medicine.",""
"text:family_verysick_many","Very sick family members will die without medicine.",""
"text:family_sick_1","Your $0 is sick and needs medicine.",""
"text:family_sick_many","Your family needs medicine.",""
"text:family_died_1","Your $0 has died.",""
"text:family_died_2","Your $0 and $1 have died.",""
"text:family_died_3","Your $0, $1, and $2 have died.",""
"text:family_died_4","Your $0, $1, $2, and $3 have died.",""
"text:family_died_5","Your $0, $1, $2, $3, and $4 have died.",""
"text:family_escape_with_0","You leave behind everything.",""
"text:family_escape_with_1","You gather your $0 to leave for Obristan.",""
"text:family_escape_with_2","You gather your $0 and $1 to leave for Obristan.",""
"text:family_escape_with_3","You gather your $0, $1, and $2 to leave for Obristan.",""
"text:family_escape_with_4","You gather your $0, $1, $2, and $3 to leave for Obristan.",""
